city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
London,2010-05-17,38,38,16.0,33.0,4.4,pm25
New York,2010-05-17,33,33,,,,pm25
Delhi,2010-05-18,313,313,,,,pm25
London,2010-05-18,38,38,16.0,33.0,4.4,pm25
New York,2010-05-18,33,33,,,,pm25
Delhi,2010-05-19,313,313,,,,pm25
London,2010-05-19,38,38,16.0,33.0,4.4,pm25
New York,2010-05-19,33,33,,,,pm25
Delhi,2010-05-20,313,313,,,,pm25
London,2010-05-20,38,38,16.0,33.0,4.4,pm25
New York,2010-05-20,33,33,,,,pm25
Delhi,2010-05-21,313,313,,,,pm25
London,2010-05-21,38,38,16.0,33.0,4.4,pm25
New York,2010-05-21,33,33,,,,pm25
Delhi,2010-05-22,313,313,,,,pm25
London,2010-05-22,38,38,16.0,33.0,4.4,pm25
New York,2010-05-22,33,33,,,,pm25
Delhi,2010-05-23,313,313,,,,pm25
London,2010-05-23,38,38,16.0,33.0,4.4,pm25
New York,2010-05-23,33,33,,,,pm25
Delhi,2010-05-24,313,313,,,,pm25
London,2010-05-24,38,38,16.0,33.0,4.4,pm25
New York,2010-05-24,33,33,,,,pm25
Delhi,2010-05-25,313,313,,,,pm25
London,2010-05-25,38,38,16.0,33.0,4.4,pm25
New York,2010-05-25,33,33,,,,pm25
Delhi,2010-05-26,313,313,,,,pm25
London,2010-05-26,38,38,16.0,33.0,4.4,pm25
New York,2010-05-26,33,33,,,,pm25
Delhi,2010-05-27,313,313,,,,pm25
London,2010-05-27,38,38,16.0,33.0,4.4,pm25
New York,2010-05-27,33,33,,,,pm25
Delhi,2010-05-28,313,313,,,,pm25
London,2010-05-28,38,38,16.0,33.0,4.4,pm25
New York,2010-05-28,33,33,,,,pm25
Delhi,2010-05-29,313,313,,,,pm25
London,2010-05-29,38,38,16.0,33.0,4.4,pm25
New York,2010-05-29,33,33,,,,pm25
Delhi,2010-05-30,313,313,,,,pm25
London,2010-05-30,38,38,16.0,33.0,4.4,pm25
New York,2010-05-30,33,33,,,,pm25
Delhi,2010-05-31,313,313,,,,pm25
London,2010-05-31,38,38,16.0,33.0,4.4,pm25
New York,2010-05-31,33,33,,,,pm25
Delhi,2010-06-01,313,313,,,,pm25
London,2010-06-01,38,38,16.0,33.0,4.4,pm25
New York,2010-06-01,33,33,,,,pm25
Delhi,2010-06-02,313,313,,,,pm25
London,2010-06-02,38,38,16.0,33.0,4.4,pm25
New York,2010-06-02,33,33,,,,pm25
Delhi,2010-06-03,313,313,,,,pm25
London,2010-06-03,38,38,16.0,33.0,4.4,pm25
New York,2010-06-03,33,33,,,,pm25
Delhi,2010-06-04,313,313,,,,pm25
London,2010-06-04,38,38,16.0,33.0,4.4,pm25
New York,2010-06-04,33,33,,,,pm25
Delhi,2010-06-05,313,313,,,,pm25
London,2010-06-05,38,38,16.0,33.0,4.4,pm25
New York,2010-06-05,33,33,,,,pm25
Delhi,2010-06-06,313,313,,,,pm25
